Data #,A,B,C,D,E,F,G,H,I,J
0,0.11547160457465425,0.25672318294709223,0.5327084995825035,0.545075826633701,0.04778943771174941,0.06730034193955198,0.34917818332909645,0.04998569981868321,0.7719020630617773,0.7777688818286065
1,0.6946386179473883,0.5803926641716131,0.6207455676771355,0.7004609242484375,0.07411257498868852,0.5953280042684236,0.14040387864938775,0.9825158945123198,0.5042883105676209,0.7070556964831078
2,0.4783543254354385,0.10945589446654344,0.4891484296025165,0.44621440073894675,0.9335029414411309,0.3339057986261888,0.2751797768086997,0.48824635007046097,0.3597492386509113,0.8055231692980581
3,0.7521447570541391,0.2046529659939772,0.5544630846349079,0.58565272063629,0.06309638461724265,0.5331219595657376,0.28810980593278057,0.9723073972077904,0.7949035924491038,0.4866647522789816
4,0.5108007502263776,0.4587808176182591,0.4063436034061562,0.7818832232436742,0.9391469388500002,0.24420025886954266,0.10382634706499119,0.5737861259358988,0.36565925475140354,0.47340618056994904
5,0.8043199294480512,0.3084363786937238,0.4959199532450437,0.7409340379038393,0.0716438027012625,0.3587037756912066,0.4347936369433622,0.1102595715900556,0.5874088126683346,0.6365801779553003
6,0.5414682800263325,0.667883489335744,0.7756723507543241,0.434526454392773,0.9305376032592236,0.4634541048396612,0.18656457627051343,0.5344707271221477,0.6130999616966558,0.8085004573881702
7,0.43997004946680546,0.8797196263826702,0.5991692589006705,0.5079981140886483,0.07669880383020238,0.4504776433255421,0.3071943419570572,0.05493509152846216,0.43861656452916375,0.6849423732814821
8,0.9209943974596942,0.6598546701343736,0.32283273394285383,0.5733913660886041,0.06914647234962774,0.21756408949075456,0.5508226069984983,0.9925590089417862,0.5741976030424263,0.44134239268651615
9,0.29954799106405516,0.9105311362271472,0.20327540117262116,0.5887503970469841,1.0,0.7459878514821091,0.36058730776443076,0.532937851316407,0.46652889791683316,0.6761896449966246
10,0.5594706615848638,0.51426409200979,0.22468802968863272,0.5203761451207496,0.1281469117920989,0.5719639029182604,0.3102545436780028,0.04327187307396831,0.8179982987900256,0.5791431027521026
11,0.42269920224429375,0.324493500169299,0.5711785271061789,0.5426627551649429,0.04197689689990221,0.10209043445768315,0.16178450537858982,0.9851543126235458,0.6926681257881522,0.43381422354966664
12,0.2847363025694188,0.30081074177931194,0.46398411769469394,0.4548968533932793,0.0809091721155152,0.48642828831351065,0.49966924132083873,0.9782763782105102,0.2965917505054393,0.48428160789696273
13,0.7774645329954515,0.33732602696005,0.7133523585146468,0.7584609089932993,0.9152677218445475,0.5070984337833977,0.41282913917235414,0.48741199215902925,0.5565500676848283,0.6681399742255201
14,0.7652985346146951,0.6939702919830696,0.5785601891247221,0.5711622166556842,0.09357074303691977,0.508208275136283,0.564218533743332,0.9692905760635737,0.6050161997393391,0.34625703911678224
15,0.5477902903238895,0.5167599402099149,0.21108998251583766,0.7120409685919044,0.025888044550381753,0.6623796202088469,0.5448149394583602,0.035936831898185806,0.7652294563768804,0.5831479664324204
16,0.8567104751230236,0.44082628764763665,0.5097361062882924,0.44354691295248555,0.9609583144863179,0.46745043936310937,0.03843291668980639,0.48731245384169763,1.0,0.6178978807343676
17,0.31034983792653725,0.5631239272955056,0.5689586317173795,0.8429990793036406,0.05690326636055312,0.42996393671418653,0.2887666204379612,0.9781036339007028,0.4870492596230858,0.6302439534018793
